ts,mber,aer,moer,cmer,lrmer,lrmer_c
2013-01-01 00:00:00,2.9758317821810165e-07,9.91447313440562e-07,0.0,1.4879158910905082e-07,-6.037187697612565e-07,-6.214104826857554e-07
2013-01-01 01:00:00,2.934734727860581e-07,1.1857825637650545e-06,1.135546845026491e-06,7.145101589062745e-07,-6.305039566903962e-07,-6.649669008880051e-07
2013-01-01 02:00:00,2.904370650471564e-07,1.244324160312539e-06,2.5764399961669293e-06,1.4334385306070428e-06,-6.753206750871866e-07,-7.319196696765636e-07
2013-01-01 03:00:00,2.871743150964378e-07,1.2696593342525253e-06,2.801512446175947e-06,1.5443433806361925e-06,-7.201562823295584e-07,-7.98355388067087e-07
2013-01-01 04:00:00,2.797584118258836e-07,1.2182336699916165e-06,1.9617445697523092e-06,1.1207514907890965e-06,-7.490452456332726e-07,-8.332147206351765e-07
2013-01-01 05:00:00,2.660187362316303e-07,1.185199041061209e-06,1.316788181531473e-06,7.914034588815517e-07,-7.691984550713418e-07,-8.404765401414382e-07
2013-01-01 06:00:00,2.439174395219776e-07,1.1496095892351185e-06,1.1673384606745036e-06,7.056279500982406e-07,-7.762821719018159e-07,-8.370483522937168e-07
2013-01-01 07:00:00,1.996194511816801e-07,1.186518345422515e-06,3.120015916461768e-07,2.558105214139285e-07,-8.339132967655959e-07,-9.111698637412263e-07
2013-01-01 08:00:00,3.388249861200345e-07,8.079992645411138e-07,7.276173023578936e-06,3.8074990048494857e-06,-6.469626301281761e-07,-7.926589326994047e-07
2013-01-01 09:00:00,4.687287175190587e-09,2.4829739600536643e-08,6.939661396592608e-07,3.493267134172257e-07,-3.383749273006471e-07,-3.6409006475997516e-07
2013-01-01 10:00:00,3.403881933096501e-09,1.83572316309207e-08,0.0,1.7019409665482504e-09,-3.071890942469846e-07,-2.3703813495558593e-07
2013-01-01 11:00:00,2.841352158880017e-09,1.2024502154888189e-08,0.0,1.4206760794400087e-09,-1.3033418557162502e-07,-3.6295981529610414e-08
2013-01-01 12:00:00,2.703822584607352e-09,1.1356904197317362e-08,0.0,1.351911292303676e-09,-2.631847860941051e-07,-1.6429398058259316e-07
2013-01-01 13:00:00,2.8001681583117334e-09,1.1597752989790351e-08,0.0,1.4000840791558667e-09,-1.6124559542373106e-07,-7.07666436630223e-08
2013-01-01 14:00:00,3.0618157607866453e-09,1.590256838506782e-08,0.0,1.5309078803933226e-09,-3.0602022300873354e-07,-1.719049429607205e-07
2013-01-01 15:00:00,3.95845437984445e-09,2.0162337548915897e-08,1.0308632365236086e-07,5.352238901610264e-08,3.989478002580372e-07,4.92689982327076e-07
2013-01-01 16:00:00,1.7891924393021578e-08,2.0407840710629398e-07,5.8461872948596485e-06,2.932039609626335e-06,-6.667422672750134e-07,-3.5487414359798895e-07
2013-01-01 17:00:00,2.52232600833045e-07,1.1389689776365652e-06,3.1043153741613824e-06,1.6782739874972137e-06,-5.458995150805494e-07,1.4462955193757701e-05
2013-01-01 18:00:00,2.749083779467085e-07,1.2704239458977995e-06,3.718048455187448e-07,3.233566117327267e-07,-5.133721986483498e-07,3.719354263921585e-05
2013-01-01 19:00:00,2.901338652785778e-07,1.3423039550086818e-06,7.029817616296292e-07,4.965578134541035e-07,-5.068790077466252e-07,0.0005686072770643763
2013-01-01 20:00:00,2.99708995410128e-07,1.3587606973217942e-06,1.9154682710587586e-06,1.1075886332344432e-06,-5.004627030417593e-07,-0.00017240329843035062
2013-01-01 21:00:00,3.052582122526634e-07,1.4358794975910614e-06,5.681086290344232e-06,2.9931722512984476e-06,-5.111224863832437e-07,0.0009058277888819314
2013-01-01 22:00:00,3.106659888822406e-07,1.4732943092476796e-06,6.149498126150285e-06,3.230082057516263e-06,-5.311075694612005e-07,0.00030282038784662106
2013-01-01 23:00:00,3.147355639002445e-07,1.3517038726000989e-06,0.0,1.5736778195012221e-07,-5.867659185069187e-07,0.001146808695183359
2013-01-02 00:00:00,3.174278260950795e-07,1.263341205093816e-06,0.0,1.5871391304753978e-07,-6.346372006519458e-07,0.0012249639370657086
