name,location,country
Albania,AL0 0,AL
Austria,AT0 0,AT
Bosnia and Herzegovina,BA0 0,BA
Belgium,BE0 0,BE
Bulgaria,BG0 0,BG
Switzerland,CH0 0,CH
Czech Republic,CZ0 0,CZ
Germany,DE0 0,DE
Denmark,DK0 0,DK
Estonia,EE0 0,EE
Spain,ES0 0,ES
Finland,FI1 0,FI
France,FR0 0,FR
United Kingdom,GB2 0,GB
Greece,GR0 0,GR
Croatia,HR0 0,HR
Hungary,HU0 0,HU
Ireland,IE3 0,IE
Italy,IT0 0,IT
Latvia,LT0 0,LT
Luxembourg,LU0 0,LU
Lithuania,LV0 0,LV
Montenegro,ME0 0,ME
North Macedonia,MK0 0,MK
Netherlands,NL0 0,NL
Norway,NO1 0,NO
Poland,PL0 0,PL
Portugal,PT0 0,PT
Romania,RO0 0,RO
Serbia,RS0 0,RS
Sweden,SE1 0,SE
Slovenia,SI0 0,SI
Slovakia,SK0 0,SK
Kosovo,XK0 0,XK
